SI No,Date Time,ESR Level (m),ESR Flow 1 (m³/hr),ESR Pressure 1 (bar),ESR Totalizer 1 (m³),ESR Total Delivery (m³),Baliapanda Basti Flow 1 (m³/hr),Baliapanda Basti Pressure 1 (bar),Baliapanda Basti Totalizer 1 (m³),Baliapanda Basti Chlorine (ppm),Housing Board Flow 1 (m³/hr),Housing Board Pressure 1 (bar),Housing Board Totalizer 1 (m³),Housing Board Chlorine (ppm),Sea Beach Flow 1 (m³/hr),Sea Beach Pressure 1 (bar),Sea Beach Totalizer 1 (m³),Sea Beach Chlorine (ppm),Lokanatha Road Flow 1 (m³/hr),Lokanatha Road Pressure 1 (bar),Lokanatha Road Totalizer 1 (m³),Lokanatha Road Chlorine (ppm)
1,"2026-05-25 23:00","2.50","54.54","2.90","49.95","85.73","27.55","0.30","25.75","1.89","17.53","0.20","16.65","1.89","30.54","0.50","26.64","1.89","18.72","0.32","16.69","1.89"
2,"2026-05-25 22:00","2.50","109.67","2.90","101.45","97.44","32.60","0.50","30.88","1.63","18.76","0.56","16.64","1.63","30.33","0.50","26.62","1.63","25.84","0.50","23.30","1.63"
3,"2026-05-25 21:00","2.50","137.37","2.90","126.46","92.85","30.50","0.50","27.87","1.94","18.80","0.52","16.66","1.94","30.25","0.50","26.66","1.94","23.84","0.56","21.66","1.94"
4,"2026-05-25 20:00","2.47","137.18","2.90","126.46","86.24","29.14","0.53","26.31","1.60","18.75","0.53","16.64","1.60","30.07","0.65","26.65","1.60","19.21","0.79","16.64","1.60"
5,"2026-05-25 19:00","2.27","137.38","2.90","126.62","108.02","40.54","1.31","36.89","1.81","19.70","1.00","16.64","1.81","41.28","0.99","37.85","1.81","19.15","0.82","16.64","1.81"
6,"2026-05-25 18:00","2.20","137.17","2.90","126.46","113.20","48.75","1.27","43.21","2.05","18.91","1.00","16.62","2.05","37.64","1.00","34.23","2.05","21.02","0.91","19.14","2.05"
7,"2026-05-25 17:00","0.42","137.36","2.90","126.54","112.68","46.86","1.30","42.48","0.87","17.72","1.00","16.65","0.87","27.62","1.00","25.21","0.87","31.57","1.39","28.34","0.87"
8,"2026-05-25 16:00","0.00","137.20","2.90","126.46","109.13","46.25","1.23","42.19","0.30","17.68","1.00","16.63","0.30","25.37","1.00","23.71","0.30","29.75","1.44","26.60","0.30"
9,"2026-05-25 15:00","0.00","137.40","2.90","126.54","73.02","21.58","0.27","19.98","0.07","14.05","0.21","13.34","0.07","25.11","0.90","23.34","0.07","17.28","1.16","16.36","0.07"
10,"2026-05-25 14:00","0.00","137.15","2.90","126.54","102.81","34.80","0.79","32.40","0.08","16.95","0.98","16.47","0.08","34.35","1.00","32.92","0.08","22.06","1.19","21.02","0.08"
11,"2026-05-25 13:00","0.00","137.23","2.90","126.54","105.05","39.17","0.80","35.63","0.08","17.25","1.00","16.65","0.08","33.37","1.00","31.19","0.08","23.55","1.20","21.58","0.08"
12,"2026-05-25 12:00","0.00","136.93","2.90","126.46","113.41","43.26","0.80","40.86","0.05","17.56","1.00","16.62","0.05","31.91","1.00","29.68","0.05","28.02","1.20","26.25","0.05"
13,"2026-05-25 11:00","0.00","137.04","2.90","126.54","115.76","45.40","0.80","42.14","0.00","18.28","1.00","16.64","0.00","33.79","1.00","31.38","0.00","27.99","1.25","25.60","0.00"
14,"2026-05-25 10:00","0.00","136.80","2.90","126.38","128.32","45.18","0.91","41.27","0.00","18.50","1.00","16.63","0.00","36.20","0.99","33.80","0.00","38.76","1.57","36.62","0.00"
15,"2026-05-25 09:00","0.00","136.96","2.90","126.62","136.20","48.80","1.48","43.32","0.00","20.74","1.50","17.78","0.00","39.42","1.24","35.12","0.00","42.93","1.70","39.98","0.00"
16,"2026-05-25 08:00","0.00","136.66","2.90","126.46","142.65","48.74","1.50","43.25","0.00","21.84","1.50","20.05","0.00","39.76","1.30","36.60","0.00","45.57","1.70","42.75","0.00"
17,"2026-05-25 07:00","0.00","136.66","2.90","126.62","147.16","48.68","1.50","43.32","0.00","22.37","1.50","21.00","0.00","41.09","1.30","39.52","0.00","47.45","1.72","43.32","0.00"
18,"2026-05-25 06:00","0.00","136.22","2.90","126.31","149.59","48.50","1.50","43.23","0.00","22.81","1.50","23.27","0.00","43.03","1.26","39.92","0.00","46.52","1.79","43.17","0.00"
19,"2026-05-25 05:00","0.00","135.54","2.89","125.71","151.00","48.15","1.45","43.19","0.00","24.09","1.49","23.30","0.00","45.72","1.21","41.75","0.00","47.68","1.66","42.76","0.00"
20,"2026-05-25 04:00","0.00","67.71","2.80","7.73","14.58","38.62","0.30","4.31","0.00","22.70","0.20","2.65","0.00","38.78","0.69","4.33","0.00","28.37","0.60","3.29","0.00"
21,"2026-05-25 02:00","0.00","64.73","2.52","2.45","5.05","31.80","0.28","1.31","0.00","22.78","0.19","0.96","0.00","38.73","0.51","1.59","0.00","28.44","0.34","1.19","0.00"
22,"2026-05-25 01:00","0.00","54.99","2.89","27.50","49.08","26.50","0.30","12.83","0.00","17.86","0.20","9.07","0.00","30.70","0.50","14.65","0.00","22.89","0.30","12.53","0.00"
23,"2026-05-25 00:00","0.00","87.42","2.90","80.79","91.25","27.14","0.30","25.03","0.00","17.55","0.20","16.57","0.00","30.20","0.50","26.51","0.00","23.87","0.30","23.14","0.00"
